example,flowerName,bothfeatures,nofeature,condition,samefeature,difffeature,speaker,context,generalizations
"""petals""","""tupa""",0,0,"""Context_noSpeaker""",100,0,"""no speaker""",context,50
"""petals""","""bapi""",50,100,"""Context_noSpeaker""",100,50,"""no speaker""",context,160
"""petals""","""kiba""",10,35,"""Context_noSpeaker""",100,10,"""no speaker""",context,45
"""petals""","""wug""",0,50,"""Context_noSpeaker""",100,0,"""no speaker""",context,50
"""petals""","""fep""",45,45,"""Context_noSpeaker""",100,0,"""no speaker""",context,90
"""thorns""","""tupa""",50,50,"""Context_noSpeaker""",100,0,"""no speaker""",context,101
"""thorns""","""fep""",1,1,"""Context_noSpeaker""",97,1,"""no speaker""",context,12
"""thorns""","""dax""",40,75,"""Context_noSpeaker""",100,10,"""no speaker""",context,115
"""petals""","""fep""",0,50,"""Context_noSpeaker""",100,0,"""no speaker""",context,50
"""petals""","""bapi""",50,50,"""Context_noSpeaker""",100,0,"""no speaker""",context,150
"""thorns""","""tupa""",50,100,"""Context_noSpeaker""",100,50,"""no speaker""",context,150
"""thorns""","""fep""",95,0,"""Context_noSpeaker""",100,0,"""no speaker""",context,95
"""petals""","""kiba""",0,0,"""Context_noSpeaker""",100,0,"""no speaker""",context,50
"""petals""","""dax""",50,80,"""Context_noSpeaker""",100,50,"""no speaker""",context,130
"""petals""","""fep""",0,0,"""Context_noSpeaker""",100,0,"""no speaker""",context,50
"""petals""","""wug""",50,50,"""Context_noSpeaker""",50,50,"""no speaker""",context,100
"""thorns""","""tupa""",50,100,"""Context_noSpeaker""",100,0,"""no speaker""",context,170
"""thorns""","""dax""",40,60,"""Context_noSpeaker""",100,20,"""no speaker""",context,150
"""thorns""","""fep""",50,50,"""Context_noSpeaker""",100,50,"""no speaker""",context,100
"""petals""","""kiba""",20,80,"""Context_noSpeaker""",100,0,"""no speaker""",context,100
"""thorns""","""bapi""",0,0,"""Context_noSpeaker""",100,0,"""no speaker""",context,0
"""thorns""","""kiba""",50,50,"""Context_noSpeaker""",100,0,"""no speaker""",context,100
"""petals""","""fep""",24,0,"""Context_noSpeaker""",75,0,"""no speaker""",context,24
"""thorns""","""kiba""",0,0,"""Context_noSpeaker""",100,0,"""no speaker""",context,60
"""petals""","""kiba""",75,60,"""Context_noSpeaker""",100,60,"""no speaker""",context,155
"""thorns""","""fep""",20,40,"""Context_noSpeaker""",100,20,"""no speaker""",context,60
"""petals""","""bapi""",0,0,"""Context_noSpeaker""",100,0,"""no speaker""",context,0
"""thorns""","""wug""",0,100,"""Context_noSpeaker""",100,0,"""no speaker""",context,100
"""petals""","""wug""",50,50,"""Context_noSpeaker""",100,0,"""no speaker""",context,100
"""petals""","""kiba""",90,0,"""Context_noSpeaker""",90,0,"""no speaker""",context,90
"""thorns""","""bapi""",50,50,"""Context_noSpeaker""",100,0,"""no speaker""",context,100
"""petals""","""fep""",50,0,"""Context_noSpeaker""",50,0,"""no speaker""",context,50
"""petals""","""bapi""",25,25,"""Context_noSpeaker""",100,0,"""no speaker""",context,50
"""petals""","""dax""",100,0,"""Context_noSpeaker""",100,0,"""no speaker""",context,125
"""petals""","""wug""",75,50,"""Context_noSpeaker""",100,25,"""no speaker""",context,125
"""thorns""","""wug""",100,0,"""Context_noSpeaker""",100,0,"""no speaker""",context,100
"""thorns""","""kiba""",0,0,"""Context_noSpeaker""",100,0,"""no speaker""",context,50
"""petals""","""dax""",50,50,"""Context_noSpeaker""",100,50,"""no speaker""",context,125
"""thorns""","""tupa""",50,50,"""Context_noSpeaker""",100,25,"""no speaker""",context,100
"""petals""","""wug""",0,50,"""Context_noSpeaker""",100,0,"""no speaker""",context,50
"""petals""","""dax""",0,0,"""Context_Speaker""",100,0,"""speaker""",context,0
"""petals""","""dax""",0,100,"""Context_Speaker""",100,0,"""speaker""",context,113
"""petals""","""fep""",55,34,"""Context_Speaker""",100,13,"""speaker""",context,89
"""petals""","""wug""",50,50,"""Context_Speaker""",100,0,"""speaker""",context,100
"""petals""","""fep""",0,0,"""Context_Speaker""",100,0,"""speaker""",context,0
"""petals""","""wug""",50,50,"""Context_Speaker""",100,0,"""speaker""",context,150
"""petals""","""wug""",90,50,"""Context_Speaker""",100,50,"""speaker""",context,140
"""thorns""","""kiba""",0,0,"""Context_Speaker""",100,0,"""speaker""",context,0
"""petals""","""dax""",0,0,"""Context_Speaker""",100,0,"""speaker""",context,0
"""petals""","""tupa""",0,50,"""Context_Speaker""",100,0,"""speaker""",context,50
"""thorns""","""dax""",0,0,"""Context_Speaker""",100,0,"""speaker""",context,10
"""petals""","""bapi""",50,10,"""Context_Speaker""",98,10,"""speaker""",context,60
"""thorns""","""fep""",50,0,"""Context_Speaker""",100,0,"""speaker""",context,50
"""thorns""","""tupa""",0,0,"""Context_Speaker""",100,0,"""speaker""",context,20
"""petals""","""dax""",20,80,"""Context_Speaker""",100,20,"""speaker""",context,125
"""thorns""","""tupa""",50,50,"""Context_Speaker""",100,25,"""speaker""",context,100
"""petals""","""tupa""",0,50,"""Context_Speaker""",100,0,"""speaker""",context,50
"""petals""","""fep""",0,80,"""Context_Speaker""",100,0,"""speaker""",context,130
"""thorns""","""wug""",50,75,"""Context_Speaker""",100,50,"""speaker""",context,155
"""petals""","""kiba""",50,60,"""Context_Speaker""",100,30,"""speaker""",context,110
"""thorns""","""dax""",0,10,"""Context_Speaker""",90,0,"""speaker""",context,20
"""thorns""","""dax""",50,10,"""Context_Speaker""",100,10,"""speaker""",context,60
"""petals""","""fep""",0,50,"""Context_Speaker""",100,0,"""speaker""",context,50
"""thorns""","""tupa""",50,40,"""Context_Speaker""",100,0,"""speaker""",context,90
"""thorns""","""fep""",50,50,"""Context_Speaker""",100,0,"""speaker""",context,100
"""petals""","""dax""",0,0,"""Context_Speaker""",100,0,"""speaker""",context,50
"""petals""","""dax""",50,50,"""Context_Speaker""",100,50,"""speaker""",context,100
"""petals""","""tupa""",0,0,"""Context_Speaker""",100,0,"""speaker""",context,0
